"Sample.ID","Genome","Pipeline.version","Estimated.number.of.cells","Feature.linkages.detected","Linked.genes","Linked.peaks","ATAC.Confidently.mapped.read.pairs","ATAC.Fraction.of.genome.in.peaks","ATAC.Fraction.of.high.quality.fragments.in.cells","ATAC.Fraction.of.high.quality.fragments.overlapping.TSS","ATAC.Fraction.of.high.quality.fragments.overlapping.peaks","ATAC.Fraction.of.transposition.events.in.peaks.in.cells","ATAC.Mean.raw.read.pairs.per.cell","ATAC.Median.high.quality.fragments.per.cell","ATAC.Non.nuclear.read.pairs","ATAC.Number.of.peaks","ATAC.Percent.duplicates","ATAC.Q30.bases.in.barcode","ATAC.Q30.bases.in.read.1","ATAC.Q30.bases.in.read.2","ATAC.Q30.bases.in.sample.index.i1","ATAC.Sequenced.read.pairs","ATAC.TSS.enrichment.score","ATAC.Unmapped.read.pairs","ATAC.Valid.barcodes","GEX.Fraction.of.transcriptomic.reads.in.cells","GEX.Mean.raw.reads.per.cell","GEX.Median.UMI.counts.per.cell","GEX.Median.genes.per.cell","GEX.Percent.duplicates","GEX.Q30.bases.in.UMI","GEX.Q30.bases.in.barcode","GEX.Q30.bases.in.read.2","GEX.Reads.mapped.antisense.to.gene","GEX.Reads.mapped.confidently.to.exonic.regions","GEX.Reads.mapped.confidently.to.genome","GEX.Reads.mapped.confidently.to.intergenic.regions","GEX.Reads.mapped.confidently.to.intronic.regions","GEX.Reads.mapped.confidently.to.transcriptome","GEX.Reads.mapped.to.genome","GEX.Reads.with.TSO","GEX.Sequenced.read.pairs","GEX.Total.genes.detected","GEX.Valid.UMIs","GEX.Valid.barcodes"
"ENCSR568QKW","GRCh38","cellranger-arc-2.0.1",19182,188514,14142,53091,0.8664,0.0316,0.6505,0.2821,0.3731,0.3458,16013.7902,4359,0.1506,115405,0.1487,0.9174,0.9434,0.9343,NA,307176524,7.0708,0.0079,0.9843,0.7577,16545.8941,2009,1258,0.5766,0.9697,0.9727,0.9521,0.2155,0.4219,0.9154,0.0485,0.445,0.645,0.9716,0.0764,317383341,31293,0.9996,0.9451
"ENCSR245BNT","GRCh38","cellranger-arc-2.0.1",18277,281258,15332,62791,0.8716,0.0332,0.7159,0.2757,0.3853,0.3562,17157.624,3987,0.1575,121412,0.1384,0.9198,0.9535,0.9402,NA,313589894,7.1593,0.0069,0.9823,0.7976,17984.2306,1943,1277,0.4381,0.9716,0.9741,0.9503,0.2718,0.3489,0.9091,0.0446,0.5156,0.5868,0.9704,0.0849,328697782,31370,0.9996,0.9433
"ENCSR265ZRW","GRCh38","cellranger-arc-2.0.1",17642,61489,11112,27024,0.839,0.0213,0.5743,0.2311,0.2518,0.2293,17080.5835,3163,0.249,78000,0.1326,0.9284,0.9346,0.9404,NA,301335654,5.6469,0.0052,0.9841,0.7552,17758.5765,1870,1187,0.5444,0.9631,0.9674,0.9468,0.1815,0.417,0.939,0.0468,0.4752,0.7037,0.9679,0.0529,313296806,31080,0.9995,0.9547
"ENCSR618WVK","GRCh38","cellranger-arc-2.0.1",16783,109461,10157,29555,0.8928,0.0337,0.6117,0.27,0.4184,0.3887,16443.3527,6046,0.0219,123109,0.1476,0.9166,0.9452,0.9406,NA,275968788,6.8368,0.007,0.9819,0.8738,19075.6591,4368,2367,0.4853,0.9714,0.9741,0.9512,0.1114,0.2546,0.8367,0.0612,0.5208,0.6545,0.9596,0.1787,320146787,31322,0.9996,0.9514
"ENCSR158DQA","GRCh38","cellranger-arc-2.0.1",16327,30018,6679,15112,0.8767,0.0233,0.4821,0.278,0.3338,0.3106,14724.0055,3247,0.0131,84041,0.2784,0.9274,0.9388,0.9444,NA,240398837,6.0184,0.0062,0.9861,0.8411,15523.6138,2011,1285,0.6894,0.9764,0.9769,0.9522,0.0911,0.2268,0.7891,0.065,0.4972,0.6245,0.9602,0.2583,253454042,30352,0.9996,0.9568
"ENCSR508WRP","GRCh38","cellranger-arc-2.0.1",16118,65444,10258,27056,0.8806,0.021,0.4729,0.222,0.245,0.2222,18921.1825,4784,0.0597,76678,0.1352,0.9265,0.9366,0.9341,NA,304971620,5.1031,0.0055,0.9839,0.745,18740.1177,2536,1569,0.445,0.9634,0.9674,0.9398,0.2224,0.4171,0.9117,0.041,0.4535,0.6421,0.968,0.0889,302053217,31579,0.9995,0.9418
"ENCSR925IHI","GRCh38","cellranger-arc-2.0.1",14137,713642,16147,87084,0.9035,0.0359,0.8574,0.3488,0.4713,0.43,22552.5477,11806,0.0276,132511,0.1649,0.9217,0.9618,0.9408,NA,318825367,6.8172,0.0105,0.9829,0.8561,23565.638,3530,1996,0.6954,0.9624,0.9663,0.9424,0.1306,0.3973,0.9235,0.0437,0.4825,0.7415,0.9647,0.1214,333147424,31156,0.9994,0.9541
"ENCSR488VFJ","GRCh38","cellranger-arc-2.0.1",13806,4782,2614,3622,0.8488,0.0115,0.3363,0.1726,0.1314,0.1218,20371.7317,3640,0.0928,40121,0.1502,0.9223,0.9496,0.9381,NA,281252128,3.5152,0.0057,0.9853,0.4735,18267.8598,2173,1377,0.4138,0.9173,0.9289,0.8713,0.1359,0.473,0.8532,0.0623,0.3178,0.6492,0.9493,0.1038,252206072,30903,0.998,0.939
"ENCSR662XCU","GRCh38","cellranger-arc-2.0.1",13650,176925,11707,46639,0.8997,0.0386,0.6354,0.3358,0.4484,0.4161,21881.2423,7000.5,0.0298,140880,0.1662,0.9116,0.9542,0.9311,NA,298678957,7.7613,0.0079,0.9815,0.8657,23021.5578,3499,2022,0.4816,0.9702,0.9734,0.9542,0.2677,0.3348,0.9194,0.0553,0.5294,0.589,0.9717,0.0761,314244264,32467,0.9995,0.9476
"ENCSR793DNM","GRCh38","cellranger-arc-2.0.1",12900,677162,18371,87714,0.8695,0.0386,0.7107,0.3066,0.4471,0.4148,25088.0206,6902.5,0.1775,141534,0.1373,0.923,0.9374,0.939,NA,323635466,7.6579,0.0063,0.9831,0.8561,29272.9033,3438.5,1940,0.533,0.9706,0.9733,0.952,0.2797,0.3504,0.9318,0.048,0.5335,0.5981,0.9685,0.0654,377620453,31544,0.9994,0.9437
