"multiomics_series","tissue_source"
"ENCSR033MDU","pancreas"
"ENCSR128ZLB","lung"
"ENCSR158DQA","pancreas"
"ENCSR196FPL","ureter"
"ENCSR201BHG","heart"
"ENCSR212VKB","adrenal gland"
"ENCSR222ZFD","ovary"
"ENCSR232HQU","posterior vena cava"
"ENCSR233SQG","pancreas"
"ENCSR245BNT","heart"
"ENCSR255POA","psoas muscle"
"ENCSR264JIX","lung"
"ENCSR265ZRW","heart"
"ENCSR284PXA","placenta"
"ENCSR300BCB","heart"
"ENCSR316WAS","pancreas"
"ENCSR320RLS","heart"
"ENCSR351CSQ","heart"
"ENCSR420IUS","fallopian tube"
"ENCSR449VCG","adrenal gland"
"ENCSR488VFJ","heart"
"ENCSR508WRP","heart"
"ENCSR511RDV","heart"
"ENCSR534YJW","heart"
"ENCSR549KDX","lung"
"ENCSR568QKW","heart"
"ENCSR573DJW","heart"
"ENCSR613LBN","heart"
"ENCSR618WVK","liver"
"ENCSR636WIB","colon"
"ENCSR662XCU","adrenal gland"
"ENCSR694BTU","placenta"
"ENCSR727WGO","ovary"
"ENCSR768WQT","heart"
"ENCSR775AZP","psoas muscle"
"ENCSR788DZO","liver"
"ENCSR793DNM","heart"
"ENCSR808RAT","lung"
"ENCSR822CXI","heart"
"ENCSR823KSL","ovary"
"ENCSR851GBP","psoas muscle"
"ENCSR871JTA","bile duct"
"ENCSR923FKN","heart"
"ENCSR925IHI","colon"
"ENCSR975IXL","ovary"
"ENCSR980AFI","fallopian tube"
"ENCSR987VTJ","heart"
