"multiomics_series","tissue_source"
"ENCSR156FOG","adrenal gland"
"ENCSR616MKL","adrenal gland"
"ENCSR865JAB","adrenal gland"
"ENCSR226SCP","adrenal gland"
"ENCSR444PES","adrenal gland"
"ENCSR097ZGV","adrenal gland"
"ENCSR348VTH","adrenal gland"
"ENCSR224VRR","adrenal gland"
"ENCSR018XAY","gastrocnemius"
"ENCSR584MBU","gastrocnemius"
"ENCSR562CYR","gastrocnemius"
"ENCSR648KQI","gastrocnemius"
"ENCSR008NTI","gastrocnemius"
"ENCSR102SCY","gastrocnemius"
"ENCSR141OBV","gastrocnemius"
"ENCSR068CZC","gastrocnemius"
"ENCSR221SQU","heart"
"ENCSR048YMP","heart"
"ENCSR684FTW","heart"
"ENCSR372UUV","heart"
"ENCSR310RMF","heart"
"ENCSR212MCM","heart"
"ENCSR476GRZ","heart"
"ENCSR084MAZ","heart"
"ENCSR194IGF","layer of hippocampus"
"ENCSR889TPR","layer of hippocampus"
"ENCSR136OET","layer of hippocampus"
"ENCSR916CEX","layer of hippocampus"
"ENCSR921OKB","layer of hippocampus"
"ENCSR765ROV","layer of hippocampus"
"ENCSR933ULF","layer of hippocampus"
"ENCSR684FZJ","layer of hippocampus"
"ENCSR985SFZ","left cerebral cortex"
"ENCSR541VCD","left cerebral cortex"
"ENCSR269UCZ","left cerebral cortex"
"ENCSR817RYV","left cerebral cortex"
"ENCSR638WYG","left cerebral cortex"
"ENCSR536ZVO","left cerebral cortex"
"ENCSR601VZY","left cerebral cortex"
"ENCSR233QRA","left cerebral cortex"
