"Sample.ID","Genome","Pipeline.version","Estimated.number.of.cells","Feature.linkages.detected","Linked.genes","Linked.peaks","ATAC.Confidently.mapped.read.pairs","ATAC.Fraction.of.genome.in.peaks","ATAC.Fraction.of.high.quality.fragments.in.cells","ATAC.Fraction.of.high.quality.fragments.overlapping.TSS","ATAC.Fraction.of.high.quality.fragments.overlapping.peaks","ATAC.Fraction.of.transposition.events.in.peaks.in.cells","ATAC.Mean.raw.read.pairs.per.cell","ATAC.Median.high.quality.fragments.per.cell","ATAC.Non.nuclear.read.pairs","ATAC.Number.of.peaks","ATAC.Percent.duplicates","ATAC.Q30.bases.in.barcode","ATAC.Q30.bases.in.read.1","ATAC.Q30.bases.in.read.2","ATAC.Q30.bases.in.sample.index.i1","ATAC.Sequenced.read.pairs","ATAC.TSS.enrichment.score","ATAC.Unmapped.read.pairs","ATAC.Valid.barcodes","GEX.Fraction.of.transcriptomic.reads.in.cells","GEX.Mean.raw.reads.per.cell","GEX.Median.UMI.counts.per.cell","GEX.Median.genes.per.cell","GEX.Percent.duplicates","GEX.Q30.bases.in.UMI","GEX.Q30.bases.in.barcode","GEX.Q30.bases.in.read.2","GEX.Reads.mapped.antisense.to.gene","GEX.Reads.mapped.confidently.to.exonic.regions","GEX.Reads.mapped.confidently.to.genome","GEX.Reads.mapped.confidently.to.intergenic.regions","GEX.Reads.mapped.confidently.to.intronic.regions","GEX.Reads.mapped.confidently.to.transcriptome","GEX.Reads.mapped.to.genome","GEX.Reads.with.TSO","GEX.Sequenced.read.pairs","GEX.Total.genes.detected","GEX.Valid.UMIs","GEX.Valid.barcodes"
"ENCSR018XAY","mm10","cellranger-arc-2.0.2",2654,99623,8423,28220,0.8336,0.0225,0.5025,0.3125,0.4298,0.3997,71666.5087,10926.5,0.0162,70532,0.4712,0.922,0.9454,0.9345,NA,190202914,9.0364,0.0251,0.9821,0.5327,87462.1436,4882.5,1852,0.7905,0.9651,0.9674,0.9478,0.0717,0.4048,0.8431,0.1332,0.3052,0.6361,0.9002,0.3415,232124529,22390,0.9996,0.9275
"ENCSR584MBU","mm10","cellranger-arc-2.0.2",8103,506828,12541,65761,0.8802,0.0329,0.7844,0.3305,0.4877,0.4543,27050.6619,8740,0.0105,104692,0.3571,0.9164,0.95,0.9268,NA,219191513,11.456,0.0233,0.9804,0.6631,24066.6594,2914,1365,0.6023,0.9644,0.9668,0.9477,0.0674,0.3636,0.8381,0.1465,0.3281,0.622,0.9076,0.4338,195012141,23801,0.9996,0.9239
"ENCSR562CYR","mm10","cellranger-arc-2.0.2",9123,461116,12643,56210,0.9031,0.0319,0.8733,0.3268,0.4916,0.4579,18800.1515,9231,0.0052,101575,0.2877,0.9202,0.9404,0.9301,NA,171513782,11.4639,0.0198,0.9822,0.78,21653.7542,4566,1744,0.562,0.9677,0.9702,0.9467,0.086,0.3272,0.8616,0.1089,0.4255,0.664,0.9103,0.4177,197547200,24233,0.9996,0.9389
"ENCSR648KQI","mm10","cellranger-arc-2.0.2",9945,515991,14160,63506,0.8996,0.0332,0.8562,0.3253,0.4915,0.4576,18840.9233,8360,0.0101,105709,0.2964,0.9233,0.9302,0.9319,NA,187372982,11.5414,0.0189,0.9822,0.7865,23187.0895,4516,1718,0.5859,0.9686,0.9714,0.9482,0.1041,0.3174,0.872,0.0981,0.4565,0.667,0.915,0.328,230595605,24690,0.9996,0.9387
"ENCSR008NTI","mm10","cellranger-arc-2.0.2",7262,417754,13988,73006,0.8839,0.038,0.8152,0.333,0.4862,0.454,23752.6352,9480,0.0112,120794,0.3041,0.9235,0.9402,0.9311,NA,172491637,11.4547,0.0174,0.9823,0.7884,26442.6786,4039,1852.5,0.6305,0.9684,0.971,0.9478,0.1367,0.3791,0.8956,0.0826,0.4339,0.6732,0.9321,0.2066,192026732,25043,0.9995,0.9409
"ENCSR102SCY","mm10","cellranger-arc-2.0.2",6997,223824,11762,56360,0.8791,0.0331,0.836,0.2983,0.418,0.389,18266.5189,7166,0.0225,105066,0.258,0.922,0.9303,0.9318,NA,127810833,10.3797,0.0166,0.9821,0.6562,24125.7235,3465,1683,0.5791,0.9669,0.9693,0.9449,0.0867,0.4375,0.8661,0.115,0.3136,0.662,0.9262,0.2762,168807687,24463,0.9995,0.931
"ENCSR141OBV","mm10","cellranger-arc-2.0.2",8391,195062,11614,49805,0.8455,0.0303,0.6968,0.2825,0.3786,0.3518,19545.5879,6240,0.0095,95861,0.2083,0.9235,0.9361,0.9305,NA,164007028,9.4244,0.016,0.9825,0.6629,19455.6592,3057,1600,0.4765,0.9657,0.9682,0.9475,0.1028,0.4349,0.8676,0.1168,0.3159,0.6454,0.9246,0.2557,163252436,25085,0.9995,0.9256
"ENCSR068CZC","mm10","cellranger-arc-2.0.2",5103,168325,11173,41556,0.8744,0.0283,0.8002,0.2801,0.373,0.3464,25227.214,11014,0.016,89833,0.2698,0.9236,0.9271,0.9314,NA,128734473,9.8281,0.0155,0.9822,0.7012,28621.381,4236,1847,0.6097,0.9666,0.969,0.941,0.1229,0.391,0.8804,0.1029,0.3865,0.652,0.9264,0.2162,146054907,24179,0.9995,0.9308
"ENCSR985SFZ","mm10","cellranger-arc-2.0.2",12876,174939,12880,53854,0.9194,0.0386,0.9045,0.2347,0.3304,0.3038,13639.0186,6846.5,0.0021,123727,0.1761,0.9238,0.9577,0.9331,NA,175616003,9.8694,0.0138,0.9796,0.9131,14486.2289,4437,1995,0.2843,0.9658,0.9695,0.936,0.2854,0.2175,0.9168,0.0572,0.6421,0.5706,0.9411,0.1999,186524683,26742,0.9995,0.9351
"ENCSR541VCD","mm10","cellranger-arc-2.0.2",11804,240033,13342,61992,0.9232,0.04,0.9245,0.2369,0.3451,0.316,16484.2929,8586,0.002,128232,0.197,0.9317,0.9478,0.939,NA,194580593,9.9216,0.0127,0.9827,0.9229,14424.069,4730.5,2079,0.2932,0.9659,0.97,0.928,0.2506,0.2215,0.914,0.0571,0.6354,0.6024,0.9385,0.1574,170261710,26666,0.9995,0.9378
